"nrg_bal","siec","unit","geo","time","values","hdd.ind","pop","demand","fechh","fechh.cap"
"FC_OTH_HH_E","TOTAL","KTOE","BE",2011-01-01,8000.83,0.89,11000638,0.74,8732.59130561798,0.000793825894972453
"FC_OTH_HH_E","TOTAL","KTOE","BG",2011-01-01,2374.281,1.09,7369431,0.53,2270.37897825688,0.000308080634482755
"FC_OTH_HH_E","TOTAL","KTOE","CY",2011-01-01,356.538,1.08,839751,0.35,347.294422222222,0.000413568334211239
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2011-01-01,6863.723,0.94,10486731,0.68,7161.63778553192,0.000682923761993315
"FC_OTH_HH_E","TOTAL","KTOE","DE",2011-01-01,56020.249,0.92,80222065,0.66,59235.32416,0.000738391914493849
"FC_OTH_HH_E","TOTAL","KTOE","DK",2011-01-01,4496.285,0.96,5560628,0.63,4614.31248125,0.000829818589060444
"FC_OTH_HH_E","TOTAL","KTOE","EE",2011-01-01,935.253,0.95,1329660,0.73,971.186404736842,0.000730402061231324
"FC_OTH_HH_E","TOTAL","KTOE","EL",2011-01-01,5526.044,1.13,11123392,0.54,5182.74462938053,0.000465932031288705
"FC_OTH_HH_E","TOTAL","KTOE","ES",2011-01-01,15662.135,0.86,46667174,0.43,16758.48445,0.000359106477071014
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2011-01-01,252034.758,0.94,439942305,0.64,262330.645986383,0.000596284201371321
"FC_OTH_HH_E","TOTAL","KTOE","FI",2011-01-01,5091.152,0.94,5375276,0.67,5308.87998978723,0.000987647888180483
"FC_OTH_HH_E","TOTAL","KTOE","FR",2011-01-01,39858.113,0.85,64978721,0.65,44430.0730205882,0.000683763428039592
"FC_OTH_HH_E","TOTAL","KTOE","HR",2011-01-01,2643.689,0.99,4289857,0.67,2661.58063262626,0.000620435747071817
"FC_OTH_HH_E","TOTAL","KTOE","HU",2011-01-01,6569.577,1,9985722,0.72,6569.577,0.000657897045401424
"FC_OTH_HH_E","TOTAL","KTOE","IE",2011-01-01,3146.812,1.01,4570881,0.62,3127.49493623762,0.000684221474205437
"FC_OTH_HH_E","TOTAL","KTOE","IT",2011-01-01,32378.063,0.95,59364690,0.66,33502.7746621053,0.000564355253301336
"FC_OTH_HH_E","TOTAL","KTOE","LT",2011-01-01,1532.207,0.95,3052588,0.71,1589.46315631579,0.000520693639729891
"FC_OTH_HH_E","TOTAL","KTOE","LU",2011-01-01,478.246,0.9,511840,0.84,522.882293333333,0.00102157372095446
"FC_OTH_HH_E","TOTAL","KTOE","LV",2011-01-01,1327.389,0.95,2074605,0.66,1373.49830210526,0.000662052921932254
"FC_OTH_HH_E","TOTAL","KTOE","MT",2011-01-01,68.76,1.11,414989,0.2,67.3971891891892,0.000162407170284488
"FC_OTH_HH_E","TOTAL","KTOE","NL",2011-01-01,10280.98,0.92,16655799,0.63,10844.1989043478,0.00065107647518728
"FC_OTH_HH_E","TOTAL","KTOE","PL",2011-01-01,20130.337,0.95,38062718,0.65,20819.0064236842,0.000546965837376201
"FC_OTH_HH_E","TOTAL","KTOE","PT",2011-01-01,2777.129,0.88,10572721,0.27,2879.37784045455,0.000272340284062593
"FC_OTH_HH_E","TOTAL","KTOE","RO",2011-01-01,7859.678,1.04,20199059,0.63,7669.23195615385,0.000379682635520489
"FC_OTH_HH_E","TOTAL","KTOE","SE",2011-01-01,7681.81,0.93,9415570,0.55,7999.8204139785,0.000849637399963942
"FC_OTH_HH_E","TOTAL","KTOE","SI",2011-01-01,1302.665,0.97,2050189,0.63,1328.04682319588,0.000647767997582602
"FC_OTH_HH_E","TOTAL","KTOE","SK",2011-01-01,2121.122,0.97,5392446,0.67,2165.07514659794,0.000401501497946931
"FC_OTH_HH_E","TOTAL","KTOE","AT",2010-01-01,7070.224,1.09,8351643,0.69,6667.4158253211,0.0007983358274918
"FC_OTH_HH_E","TOTAL","KTOE","BE",2010-01-01,9614.66,1.21,10839905,0.74,8379.8516,0.000773055815526059
"FC_OTH_HH_E","TOTAL","KTOE","BG",2010-01-01,2243.338,0.98,7421766,0.53,2267.60267632653,0.000305534110928117
"FC_OTH_HH_E","TOTAL","KTOE","CY",2010-01-01,336.524,0.65,819140,0.35,399.945830769231,0.000488250886013662
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2010-01-01,7440.711,1.14,10462088,0.68,6819.34636210526,0.000651815045152102
"FC_OTH_HH_E","TOTAL","KTOE","DE",2010-01-01,63839.122,1.19,81802257,0.66,57111.8733455462,0.000698169897018199
"FC_OTH_HH_E","TOTAL","KTOE","DK",2010-01-01,5005.148,1.24,5534738,0.63,4394.84285677419,0.000794047135885058
"FC_OTH_HH_E","TOTAL","KTOE","EE",2010-01-01,1026.849,1.16,1333290,0.73,923.455928275862,0.000692614456176722
"FC_OTH_HH_E","TOTAL","KTOE","EL",2010-01-01,4666.492,0.86,11119289,0.54,5076.70920372093,0.000456567789875857
"FC_OTH_HH_E","TOTAL","KTOE","ES",2010-01-01,16964.161,1.08,46486619,0.43,16423.821057037,0.000353302120273299
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2010-01-01,278890.936,1.12,440660421,0.64,259766.986102857,0.000589494707769221
"FC_OTH_HH_E","TOTAL","KTOE","FI",2010-01-01,5811.234,1.12,5351427,0.67,5394.07041642857,0.00100796860658448
"FC_OTH_HH_E","TOTAL","KTOE","FR",2010-01-01,45407.793,1.16,64658856,0.65,41336.7494896552,0.000639305302426866
"FC_OTH_HH_E","TOTAL","KTOE","HR",2010-01-01,2770.684,1.07,4302847,0.67,2649.24000037383,0.000615694678517231
"FC_OTH_HH_E","TOTAL","KTOE","HU",2010-01-01,6648.743,1.07,10014324,0.72,6335.56856336449,0.0006326506475489
"FC_OTH_HH_E","TOTAL","KTOE","IE",2010-01-01,3573.496,1.17,4549428,0.62,3251.57593299145,0.000714721923941087
"FC_OTH_HH_E","TOTAL","KTOE","IT",2010-01-01,35392.911,1.07,59190143,0.66,33864.731104486,0.000572134639115266
"FC_OTH_HH_E","TOTAL","KTOE","LT",2010-01-01,1593.216,1.14,3141976,0.71,1454.29874526316,0.000462861188393278
"FC_OTH_HH_E","TOTAL","KTOE","LU",2010-01-01,512.977,1.17,502066,0.84,450.367499487179,0.00089702847730613
"FC_OTH_HH_E","TOTAL","KTOE","LV",2010-01-01,1388.905,1.15,2120504,0.66,1269.33839565217,0.000598602217044709
"FC_OTH_HH_E","TOTAL","KTOE","MT",2010-01-01,69.245,0.8,414027,0.2,72.70725,0.000175609923990464
"FC_OTH_HH_E","TOTAL","KTOE","NL",2010-01-01,12480.144,1.25,16574989,0.63,10907.645856,0.000658078618091391
