"geo","time","absolute","relative"
"LV",2009-01-01,4.039648,215.138094477286
"MT",2009-01-01,0.452876,70.1285267428536
"NL",2009-01-01,51.683204,81.9434292435876
"PL",2009-01-01,61.518224,176.203540441484
"PT",2009-01-01,18.23799,103.30616149824
"RO",2009-01-01,22.244094,170.366665134874
"SE",2009-01-01,31.394432,88.7736348703604
"SI",2009-01-01,4.864109,135.559602805887
"SK",2009-01-01,10.625496,164.897690608952
"AT",2008-01-01,27.752447,91.9183472716734
"BE",2008-01-01,37.004878,102.703088707397
"BG",2008-01-01,9.974459,255.893147592293
"CY",2008-01-01,1.971479,101.528427232465
"CZ",2008-01-01,25.931227,160.368458940072
"DE",2008-01-01,221.712743,84.9432420577365
"DK",2008-01-01,15.527187,61.8574829044422
"EE",2008-01-01,3.093648,183.543734537321
"EL",2008-01-01,21.435765,86.5145622604135
"ES",2008-01-01,94.997812,85.3650491264708
"EU27_2020",2008-01-01,1036.546213,92.3257980937733
"FI",2008-01-01,25.644963,129.291795542716
"FR",2008-01-01,155.834298,77.3358118356409
"HR",2008-01-01,7.40439,148.741967171621
"HU",2008-01-01,17.439534,164.964641381502
"IE",2008-01-01,13.212298,76.2322874420929
"IT",2008-01-01,134.279045,80.2883447137749
"LT",2008-01-01,5.130533,158.429487674355
"LU",2008-01-01,4.383335,103.787123613969
"LV",2008-01-01,4.153301,189.675296503158
"MT",2008-01-01,0.501161,76.7251488847043
"NL",2008-01-01,53.907667,82.336212043479
"PL",2008-01-01,62.486939,184.047165390487
"PT",2008-01-01,18.445651,101.220368913136
"RO",2008-01-01,24.68294,178.615317261317
"SE",2008-01-01,32.688832,88.4223737968285
"SI",2008-01-01,5.502211,141.767908398048
"SK",2008-01-01,11.44747,167.961798952978
"AT",2007-01-01,27.594781,92.7309108737811
"BE",2007-01-01,35.564677,99.1471207208353
"BG",2007-01-01,10.334907,281.356704163082
"CY",2007-01-01,1.927923,102.906531729892
"CZ",2007-01-01,26.081027,165.627894246181
"DE",2007-01-01,212.95145,82.3697198980564
"DK",2007-01-01,15.720032,62.30507706076
"EE",2007-01-01,3.097586,174.345890391683
"EL",2007-01-01,22.098376,88.8899007618143
"ES",2007-01-01,98.469421,89.2696238623541
"EU27_2020",2007-01-01,1028.585465,92.2022014604081
"FI",2007-01-01,26.545864,134.882996810066
"FR",2007-01-01,153.838006,76.5397523540732
"HR",2007-01-01,7.286896,149.156283710067
"HU",2007-01-01,17.444511,166.672504428482
"IE",2007-01-01,13.200939,72.7494411917715
"IT",2007-01-01,134.623982,79.7202247520364
"LT",2007-01-01,5.212066,165.154648322016
"LU",2007-01-01,4.342841,102.519552136276
"LV",2007-01-01,4.354446,192.412376053873
"MT",2007-01-01,0.480329,76.350558725819
"NL",2007-01-01,53.06485,82.8079503971719
"PL",2007-01-01,61.616428,189.105423024383
"PT",2007-01-01,18.958727,104.368046479929
"RO",2007-01-01,24.135842,190.912321028415
"SE",2007-01-01,33.291206,89.646044245681
"SI",2007-01-01,5.144589,137.205870586792
"SK",2007-01-01,11.203763,173.550534263169
"AT",2006-01-01,27.883151,97.1925439295162
"BE",2006-01-01,36.69604,106.062609126935
"BG",2006-01-01,10.512706,305.061852708432
"CY",2006-01-01,1.865227,104.635195781443
"CZ",2006-01-01,26.54156,177.941510697652
"DE",2006-01-01,225.350876,89.7602766653105
"DK",2006-01-01,15.664843,62.6508514841981
"EE",2006-01-01,2.887692,174.850561906607
"EL",2006-01-01,21.628356,89.8474098051206
"ES",2006-01-01,95.815629,89.994936497232
"EU27_2020",2006-01-01,1045.74853,96.6763998344051
"FI",2006-01-01,26.510637,141.8424468438
"FR",2006-01-01,157.758246,80.393388752526
"HR",2006-01-01,7.258692,155.878315695437
"HU",2006-01-01,18.458644,176.850469895367
