"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2011-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","FI",2011-01-01,5.7
"TOTAL","TOTAL","PC","T","TOTAL","FR",2011-01-01,10.9
"TOTAL","TOTAL","PC","T","TOTAL","HR",2011-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","HU",2011-01-01,22.1
"TOTAL","TOTAL","PC","T","TOTAL","IE",2011-01-01,11.1
"TOTAL","TOTAL","PC","T","TOTAL","IT",2011-01-01,23.4
"TOTAL","TOTAL","PC","T","TOTAL","LT",2011-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","LU",2011-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","LV",2011-01-01,26
"TOTAL","TOTAL","PC","T","TOTAL","MT",2011-01-01,10.2
"TOTAL","TOTAL","PC","T","TOTAL","NL",2011-01-01,14.6
"TOTAL","TOTAL","PC","T","TOTAL","PL",2011-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","PT",2011-01-01,21.3
"TOTAL","TOTAL","PC","T","TOTAL","RO",2011-01-01,18.1
"TOTAL","TOTAL","PC","T","TOTAL","SE",2011-01-01,8.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2011-01-01,34.7
"TOTAL","TOTAL","PC","T","TOTAL","SK",2011-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2010-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","BE",2010-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","BG",2010-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","CH",2010-01-01,8.9
"TOTAL","TOTAL","PC","T","TOTAL","CY",2010-01-01,30
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2010-01-01,11.8
"TOTAL","TOTAL","PC","T","TOTAL","DE",2010-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","DK",2010-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2010-01-01,16.4
"TOTAL","TOTAL","PC","T","TOTAL","EE",2010-01-01,18.8
"TOTAL","TOTAL","PC","T","TOTAL","EL",2010-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","ES",2010-01-01,21.8
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2010-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2010-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","FI",2010-01-01,5
"TOTAL","TOTAL","PC","T","TOTAL","FR",2010-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","HR",2010-01-01,19.8
"TOTAL","TOTAL","PC","T","TOTAL","HU",2010-01-01,24.2
"TOTAL","TOTAL","PC","T","TOTAL","IE",2010-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","IT",2010-01-01,20.5
"TOTAL","TOTAL","PC","T","TOTAL","LT",2010-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2010-01-01,17.2
"TOTAL","TOTAL","PC","T","TOTAL","LV",2010-01-01,24.7
"TOTAL","TOTAL","PC","T","TOTAL","MT",2010-01-01,12.1
"TOTAL","TOTAL","PC","T","TOTAL","NL",2010-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2010-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2010-01-01,21.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2010-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","SE",2010-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2010-01-01,32.4
